index,label,claim,results
137.0,mostly-true,"In Florida we have 75,000 on (a) waiting list for child care and 23,000 on waiting lists for community care for the elderly.",partly-TRUE
139.0,FALSE,I can tell you that the enhanced interrogation techniques that have since been banned by this administration specifically waterboarding work.,partly-TRUE
145.0,TRUE,The number of inmates since 2000 on death row dying of natural causes has now surpassed the number of inmates executed.,partly-TRUE
147.0,half-true,Republicans have proposed dozens of (health care) solutions designed to help control costs and improve quality.,TRUE
149.0,FALSE,Says Hillary Clinton has donated every cent shes ever earned from speaking fees to charity.,FALSE
153.0,half-true,About 1 percent of all the gun sellers are responsible for more than half of the guns that are used in crimes.,partly-TRUE
155.0,TRUE,Texas is the state that has now gone the longest without electing a Democrat statewide.,partly-TRUE
157.0,TRUE,"Today, if you were raised poor, youre just as likely to stay poor as you were 50 years ago.",partly-TRUE
162.0,half-true,Says Clackamas County has more urban renewal debt than all the other Oregon counties combined.,partly-TRUE
163.0,FALSE,NASA scientists fudged the numbers to make 1998 the hottest year to overstate the extent of global warming.,FALSE
171.0,FALSE,On the Bush tax cuts.,partly-TRUE
172.0,mostly-true,Over half of the black workers in this country earn less than $15 an hour.,partly-TRUE
174.0,TRUE,Sixteen million jobs were created under Ronald Reagans presidency.,partly-TRUE
177.0,TRUE,Barack Obama ... 96 percent of his votes have been solely along party line.,partly-TRUE
178.0,half-true,President Obama and Nancy Pelosi said Obamacare would save money because they factored in 10 years worth of tax revenue and only six and half years worth of expenses.,partly-TRUE
179.0,TRUE,"John McCain ""has not led on nonproliferation issues when he had the chance in the Senate.""",partly-TRUE
180.0,TRUE,Says American polling shows Russian President Vladimir Putin has an 80 percent approval rating.,partly-TRUE
181.0,TRUE,Pasco County schools have graduation rates substantially higher than the state average and dropout rates below the state average.,partly-TRUE
189.0,TRUE,Says Barack Obama promised he would cut the deficit in half but didnt.,partly-TRUE
204.0,mostly-true,"By a two-to-one margin, Rhode Islanders want to ban assault weapons and we have a very small percentage of gun owners in this state, less than 13 percent.",partly-TRUE
207.0,mostly-true,"Says 315,000 mostly minority Texas students are enrolled in failing schools.",partly-TRUE
211.0,barely-true,"If you look at the results of Obamacare, what you see is emergency room visits are up over 50 percent.",FALSE
213.0,FALSE,Four state Assembly Democrats scored a death blow to northeast Wisconsins economy by killing hundreds of jobs at a potential Bass Pro Shops near Green Bay.,partly-TRUE
214.0,TRUE,The president campaigned against this type of legislation.,partly-TRUE
217.0,barely-true,What president has the worst record on female labor force participation? Barack Obama.,FALSE
220.0,barely-true,"Seven hundred thousand. Thats how many California jobs will be lost thanks to the politicians raising the minimum wage.Now Florida is adding one million jobs, not losing them.",partly-TRUE
222.0,FALSE,"The percentage of black children born without a father in the home has risen from 7 percent in 1964 to 73 percent today, due to changes from President Lyndon Johnsons Great Society.",partly-TRUE
223.0,TRUE,I said no to these big bank bailouts.,partly-TRUE
224.0,mostly-true,People have a constitutional right to have semiautomatic rifles.,partly-TRUE
230.0,barely-true,"Says Congressman Jon Runyan does not want to cut taxes for the middle class, but only for millionaires.",partly-TRUE
231.0,half-true,On his half pay pledge.,partly-TRUE
234.0,barely-true,Gov. Rick Scott backed the federal shutdown.,partly-TRUE
236.0,mostly-true,"As weve seen that federal support for states diminish, youve seen the biggest job losses in the public sector -- teachers, police officers, firefighters losing their jobs.",partly-TRUE
242.0,half-true,Under Hillary Clintons plan illegal immigrants convicted of committing crimes get to stay.,FALSE
245.0,mostly-true,"Says, when this governor came to office, he had (an) 11 billion dollar - I call it mismanagement deficit.",partly-TRUE
248.0,mostly-true,"Among Hispanics, support for immigration reform is close to universal.",partly-TRUE
251.0,half-true,Says 95 percent of people caught crossing the U.S.-Mexico border said in a survey we are coming because weve been promised amnesty.,FALSE
254.0,mostly-true,"When we started this health care debate a year ago, 85 percent of the American people had health insurance, and 95 percent of the 85 percent were happy with it.",partly-TRUE
255.0,TRUE,"Since John F. Kennedy was assassinated in 1963, more Americans have died by gunfire within our own country than American servicemen and women who were killed in all our wars.",TRUE
259.0,mostly-true,"He received ""A"" ratings from ""every conservative organization that gives ratings.""",partly-TRUE
278.0,half-true,Saturday Night Live executive producer Lorne Michaels could be put in jail under this amendment for making fun of any politician.,FALSE
280.0,mostly-true,"6,400 Ohioans ... lost manufacturing jobs in the month of September.",partly-TRUE
289.0,half-true,"I did very well with young people in Ohio, Massachusetts, California.",partly-TRUE
293.0,FALSE,"The EPA wants to hire 230,000 new government regulators that will cost the taxpayer $21 billion.",FALSE
294.0,FALSE,"If the Trans-Pacific Partnership is fast-tracked through the Senate, it wont receive a committee assignment and the consideration will include no debate.",partly-TRUE
297.0,TRUE,"The Keystone pipeline creates 35 permanent jobs after construction, according to a government report.",TRUE
299.0,barely-true,We're going to have more troops (in Afghanistan) . . . than the Russians had.,partly-TRUE
301.0,barely-true,Florida is investing record amounts of funding for HIV/AIDS prevention.,partly-TRUE
302.0,mostly-true,There's only four senators senior to me ... there's still 44 older than me.,partly-TRUE
305.0,TRUE,Rhode Islands exports have increased by 53 percent in the last two years.,partly-TRUE
311.0,half-true,"A planning group said that to meet anticipated traffic demands by 2035, Interstate 35 between Austin and Round Rock will need a dozen additional lanes going north and 14 additional southbound lanes.",partly-TRUE
314.0,mostly-true,A voucher school that closed after 9 days this year collected $5.4 million in taxpayer subsidies since first opening.,partly-TRUE
315.0,FALSE,Rhode Islands unemployment insurance system is the most expensive such system in the country.,partly-TRUE
325.0,mostly-true,Says his state budget will provide an increase in state funding for the 2011-12 school year.,partly-TRUE
327.0,TRUE,Sayvideo shows massive alligator strolling across Florida golf course.,TRUE
329.0,mostly-true,"We're spending $1.6 billion for all of Latin America in terms of aid and assistance, a fraction of what we're spending in Iraq, the $500 billion we've spent there",partly-TRUE
331.0,half-true,Weve introduced a bill that includes $12 billion in cuts over the next week.,partly-TRUE
333.0,FALSE,"Says Joseph Stalin said if you want to bring America down you, have to undermine three things: our spiritual life, our patriotism and our morality.",FALSE
338.0,barely-true,"Across the country, more than half of the U.S. attorney seats remain without a prosecutor chosen by Obama.",FALSE
339.0,FALSE,The Red Sox waited 87 long years to win the World Series.,partly-TRUE
340.0,TRUE,Almost every state has offered an insurance plan on its health exchange that does not cover abortion.,partly-TRUE
342.0,TRUE,Georgia has the second-highest rate of childhood obesity in the United States.,partly-TRUE
344.0,half-true,A recall election for Wisconsin governor would cost $7.7 million -- $7.7 million that may already be allocated to merit raises for teachers or health care for the poor or school books for your kids.,partly-TRUE
345.0,half-true,Says my plan is a property tax cut.,partly-TRUE
349.0,barely-true,"As a prosecutor, Wisconsin Supreme Court Justice David Prosser did not investigate or file charges in a case involving 30-year pedophile priest, then participated in cover-up.",partly-TRUE
353.0,half-true,Says Texas GOP platform calls for end to teaching critical thinking in public schools.,partly-TRUE
357.0,barely-true,If you want out of the individual mandate... all you have to do now is tick off the box that says hardshipand youre out.,partly-TRUE
358.0,barely-true,"Many Nevadans relied on Uber for work, but after accepting $70,000 from taxi companies, Catherine Cortez Masto went after Uber ... (driving) them out of town.",partly-TRUE
360.0,half-true,"Last month, 44 of the 50 states saw an increase in the unemployment rate.",partly-TRUE
374.0,TRUE,He (Obama) chairs the subcommittee on Europe. ... He's held not one substantive hearing to do oversight.,partly-TRUE
380.0,barely-true,You had supported John McCain's military strategies pretty adamantly until this race.,partly-TRUE
381.0,half-true,Says critics who say he cut Medicaid are wrong; his budget added $1.2 billion to the program,partly-TRUE
386.0,half-true,Sherrod Brown and his special interest allies in Washington are plotting to spend over $13 million to defeat Josh Mandel.,partly-TRUE
388.0,mostly-true,Says Gov. Scott Walkers proposed state budget contained 110 pages of errors -- an unusually high number -- and millions of dollars worth of mistakes that were corrected with a follow-up document.,partly-TRUE
392.0,TRUE,Rooting for the Red Sox is like rooting for the drug companies.,partly-TRUE
402.0,mostly-true,No poll done this year ... shows less than a majority to reinstate a federal ban on assault weapons.,partly-TRUE
404.0,FALSE,"In the 2012 election, there were more votes cast than registered voters in St. Lucie County, and Palm Beach County had 141 percent turnout.",FALSE
406.0,mostly-true,Says Romney called Russia our No. 1 enemy.,TRUE
407.0,FALSE,Theres been no conclusive or specific report to say Russia was trying to muddy the election.,FALSE
410.0,half-true,"Opponents of Section 5 (of the Voting Rights Act) complain of state expense, yet their only cost is the paper, postage and manpower required to send copies of legislation to the federal government for review.",partly-TRUE
411.0,barely-true,Says Nick Kahl made it harder for many families to cover basic health care expenses.,partly-TRUE
412.0,barely-true,"In California, the windmills are killing hundreds and hundreds of eagles.",partly-TRUE
413.0,TRUE,"There is nothing in the current state public records law that prohibits sensitive or confidential business information from being just that, confidential.",FALSE
414.0,mostly-true,We did not even have a federal income tax in this country until 1913.,TRUE
418.0,barely-true,Eliminating affirmative action in admissions in Florida led to more African American and Hispanic kids attending our university system than before.,partly-TRUE
420.0,barely-true,Federal stimulus money went to a Georgia Tech project that will apparently involve the professor jamming with world-renowned musicians to hopefully also create satisfying works of art.,partly-TRUE
428.0,barely-true,"In labor negotiations with city employees, Milwaukee Mayor Tom Barrett demanded concessions that went beyond those mandated by Gov. Scott Walkers collective bargaining law",partly-TRUE
434.0,FALSE,"Says Ohio Rep. Marcy Kaptur actually lives in a fancy condo in the Washington, D.C. suburbs.",partly-TRUE
442.0,TRUE,"The State Election Board has issued nearly $275,000 in fines to violators of absentee ballot laws.",partly-TRUE
449.0,barely-true,You know what (Saddam Hussein) did well? He killed terrorists.,partly-TRUE
450.0,barely-true,The average age of the minimum wage worker is 35 years old.,partly-TRUE
459.0,FALSE,On redistricting.,TRUE
462.0,half-true,"Says Democrat Hank Gilbert has a criminal conviction for theft, has multiple years of unpaid taxes, has multiple tax liens and fines, unsafe driving convictions (and) has recently been accused of taking a bribe and is on record lying to the press this year about his criminal record.",partly-TRUE
466.0,barely-true,Were taxing our small businesses now at rates higher than corporations.,partly-TRUE
469.0,mostly-true,Says Donald Trump once suggested that he would try to negotiate down the national debt.,TRUE
470.0,mostly-true,"Says DonaldTrump got, you know, $1.8 billion worth of free media. I got, like, none.",partly-TRUE
471.0,mostly-true,"When I withdrew in June of 2008, polls were showing that at least 40 percent of my supporters said, oh, they werent going to support Sen. Obama.",partly-TRUE
474.0,half-true,The increase in the current state budget was greater than the inflation rate and the rate of population growth in Georgia.,partly-TRUE
475.0,FALSE,Six thousand people have sought addiction treatment through expanded Medicaid.,partly-TRUE
476.0,mostly-true,"When students leave our high schools and they go to the community college, 70-75 percent of them have to pay to take remedial math.",partly-TRUE
478.0,barely-true,It is a fact that it costs more to run the schools in August.,partly-TRUE
479.0,FALSE,The problem with raising tax rates on the wealthiest Americans is that more than half of them are small business owners.,FALSE
482.0,half-true,"Ninety-six percent of failing schools are spending above $8,400, the average annual per student expenditure, and 26 percent spend considerably more than that.",partly-TRUE
484.0,half-true,"Military spending cuts, known as the sequester, were President Barack Obamas idea.",partly-TRUE
486.0,barely-true,Clinton aides admit it (a gas tax holiday) won't do much for you but would help her politically.,partly-TRUE
498.0,half-true,Jennifer Carrolls an outsider.,partly-TRUE
500.0,mostly-true,Says President Barack Obamas approval rating gained 3 points in the last couple months.,partly-TRUE
501.0,mostly-true,"In the city of Milwaukee, weve still got a mayor and a police chief who are furloughing police officers at a time when we have violence all across the city.",partly-TRUE
506.0,FALSE,"In early voting in Miami-Dade County, there is a trickle of two or three people a day at a very high cost to keep those public libraries and polls open.",partly-TRUE
510.0,TRUE,"Whether the Amendment passes or not, the medical use of marijuana is a federal criminal offense.",partly-TRUE
514.0,FALSE,"The big Wall Street banks, the big corporations give many times more political donations to Democrats than Republicans.",partly-TRUE
517.0,TRUE,The War in Afghanistan is officially the longest war Americans have ever been asked to endure.,TRUE
519.0,FALSE,Says in Texas its legal to shoot someone whos committing a public nuisance under the cover of dark.,FALSE
521.0,mostly-true,Individuals and small businesses will be hit by increases in health insurance premiums as high as 39 percent.,partly-TRUE
522.0,mostly-true,Says Barack Obamas comments indicate he believes in redistribution of wealth.,partly-TRUE
523.0,half-true,"Says of the 2,000 Portland households in the year-long (composting) pilot, 87 percent of participants reported being satisfied with the overall system.",partly-TRUE
527.0,TRUE,"Under this tax cut, middle-class families dont save enough for a weeks worth of groceries, while millionaires save enough to go on an exotic vacation.",partly-TRUE
529.0,FALSE,Says the word Dhimmitude is on page 107 of the health care law and means Muslims are specifically exempted from the government mandate to purchase insurance.,FALSE
537.0,mostly-true,The problem of unwanted sexual contacts in the military is not just a womans issue. More than half of the victims are men.,TRUE
538.0,TRUE,Says a study shows that children who live with a biological parent and the parents boyfriend or girlfriend have a 20 times greater chance of being sexually abused.,partly-TRUE
543.0,half-true,"Says I am happy to decline PERS so that the County can save over $68,000 over a four year term that would have been paid on my behalf.",partly-TRUE
544.0,half-true,Says Chris Dudley thinks Oregons minimum wage is too high.,partly-TRUE
545.0,FALSE,Over half the people on disability are either anxious or their back hurts.,partly-TRUE
547.0,TRUE,"Today California is kicking our butt, creating more jobs and more economic growth than Texas.",partly-TRUE
549.0,barely-true,"All of Floridas four-year state colleges now offer bachelors degrees for only $10,000.",partly-TRUE
553.0,FALSE,"In the U.S. Constitution, theres a little section in there that talks about life, liberty and the pursuit of happiness.",FALSE
555.0,mostly-true,I have something in common with my husband. He never carried caucuses either. He lost all of the ones that I've lost.,TRUE
558.0,half-true,"In Cobb County, every meeting opened with a prayer. The ACLU objected. Sued ... [Sam] Olens took on the ACLU and won!",partly-TRUE
559.0,TRUE,Felony crimes in the city of Atlanta are the lowest they have been since 1969.,partly-TRUE
560.0,TRUE,Both the Democratic and Republican candidates for president in 2016 are quite unpopular.,TRUE
565.0,FALSE,"Fluoride in the water, that was originally done by the Nazis!",FALSE
571.0,mostly-true,"In the 2014 election, 80 percentofpoor people did not vote.",partly-TRUE
572.0,mostly-true,Says the Nike bill is not a tax break ... this does not lower the taxes that Nike will pay nor does it prevent the Legislature from raising those taxes in the future.,partly-TRUE
573.0,half-true,"Thanks to the Trans-Pacific Partnership, Vietnam is drafting and presenting unprecedented labor reforms, changing their Constitution to recognize worker organizations in Vietnam for the first time.",partly-TRUE
575.0,half-true,District 22 includes about 80% of the district I have represented since 2010. District 20 includes about 20% of the area I have represented since 2010.,partly-TRUE
577.0,mostly-true,"When lenders foreclose on homes, they typically suffer losses that exceed 30 percent of the value of the home.",TRUE
579.0,barely-true,"We haven't built a refinery, I think, in 30 years.",partly-TRUE
584.0,FALSE,Says more Republicans than Democrats voted for the Wall Street bailouts.,partly-TRUE
585.0,half-true,Says a prank phone call caused 400 children to be taken from their parents... without warrant.,FALSE
586.0,FALSE,A bill that could restrict free speech when the president is nearby was signed by President Barack Obama in secret.,partly-TRUE
587.0,barely-true,Californias Prop 55 prevents $4 billion in new cuts to our schools.,partly-TRUE
597.0,half-true,The Democrat-led Senate has failed to pass a budget for 750 days ... Senate Democrats have neglected one of their most basic responsibilities.,partly-TRUE
598.0,FALSE,On Common Core.,TRUE
599.0,FALSE,Says Ron Johnson helped companies ship jobs overseas.,partly-TRUE
600.0,FALSE,Florida Democrats just voted to impose Sharia law on women.,FALSE
601.0,half-true,Says opponent Beto ORourke wants to legalize drugs.,partly-TRUE
603.0,TRUE,Ninety-seven percent of Americans do not receive subsidies for health care under the Affordable Care Act.,FALSE
604.0,FALSE,Our economy is not growing.,partly-TRUE
607.0,FALSE,Says state Senate candidate Monk Elmer voted to exceed the (school district property tax) spending caps.,partly-TRUE
613.0,FALSE,"Says Texas has so few gas-pump inspectors in the field, the HEBs of this state, the Brookshires of this state, theyre calibrating their own gas pumps. The (Texas Department of Agriculture) just sends them the stickers and they calibrate them.",partly-TRUE
616.0,mostly-true,"A mortgage buyback plan is ""my proposal, it's not Sen. Obama's proposal, it's not President Bush's proposal.""",partly-TRUE
618.0,FALSE,Senator Obama has voted 94 times to either increase your taxes or against tax cuts.,partly-TRUE
621.0,half-true,Narragansett Bay waters are getting warmer -- 4 degrees Fahrenheit warmer in the winter since the 1960s.,TRUE
625.0,FALSE,Says President Barack Obama said that American exceptionalism is no more exceptional than the exceptionalism of any other country.,partly-TRUE
626.0,barely-true,Says Barack Obamas favorability rating in Israel once clocked in at 4 percent.,partly-TRUE
630.0,half-true,One in five American households have nobody under the same roof thats got a job.,FALSE
633.0,TRUE,I saved the taxpayers $2-billion on a bogus Air Force Boeing tanker deal where people went to jail.,partly-TRUE
634.0,FALSE,Says the fluoride Austin is putting in its drinking water is toxic waste.,partly-TRUE
635.0,barely-true,The new light bulbs will cost roughly six times the cost of the light bulbs we now use.,partly-TRUE
636.0,half-true,Only three in 10 young Americans under 30 -- 30 percent under 30 -- have full-time work.,partly-TRUE
638.0,barely-true,"Through the Clinton Foundation, the Clintons are now worth in excess of $100 million.",FALSE
640.0,TRUE,"A telephone company will no longer have to provide landline service to customers if there is an alternative provider, including wireless.",partly-TRUE
648.0,FALSE,"Once a woman enters into the sex trade, her average life expectancy is seven years.",FALSE
652.0,barely-true,John Boozman supports privatizing Social Security,FALSE
666.0,barely-true,Wendy Davis legal work is currently under FBI investigation.,FALSE
673.0,TRUE,All private healthcare plans must conform to government rules to participate in a Healthcare Exchange.,TRUE
675.0,barely-true,"Obama supports ""teaching schoolchildren in 2nd grade, no less about homosexual relationships.""",partly-TRUE
681.0,TRUE,"The 1990s were a time of prosperity. We created more than 22-million new jobs, moved 8-million people out of poverty, and turned our economy around.",TRUE
685.0,FALSE,All the talk about socialism during the campaign made young people more interested in it by Election Day.,partly-TRUE
686.0,TRUE,Ive done more impeachments than anybody else in the history of the country.,partly-TRUE
692.0,FALSE,A $250 fine if youre caught with a plastic bag coming out of a store. Plastic bag police anyone?,partly-TRUE
693.0,FALSE,"In countries where there are higher, more strict gun laws, there is more gun violence.",FALSE
696.0,half-true,There never really was a Hastert Rule.,FALSE
699.0,half-true,Says Rick Santorum opposes right-to-work,FALSE
701.0,half-true,Virginia ranked near the bottom of the nation 50 years ago in per capita income but is in the top 10 today. It had a very low rate of higher education attainment but is now above the national average.,partly-TRUE
702.0,half-true,Says (Clinton) called President Assad a reformer. She called Assad a different kind of leader.,partly-TRUE
705.0,half-true,The fact is that red light cameras change driver behavior and cut down on the most dangerous types of accidents.,partly-TRUE
712.0,barely-true,Says the success of his economic agenda is supported by the fact we went from unemployment at 9.2 percent when I decided to run for governor four years ago to two points lower.,partly-TRUE
716.0,mostly-true,The education tax burden for Shelby County -- and Tennessee -- is one of the lowest in the country.,partly-TRUE
719.0,mostly-true,We have the most productive workers in the world.,partly-TRUE
725.0,half-true,"Says Democrats raised taxes over 115 times in the past 10 years, making New Jersey increasingly unaffordable and chasing jobs to neighboring states.",partly-TRUE
729.0,barely-true,"The Germans, the French, countries that opposed us in the (Iraq) war, all believed (Saddam Hussein) had weapons of mass destruction.",partly-TRUE
735.0,TRUE,"A majority of Americans agree with a ban on assault weapons. And by the way, so did Ronald Reagan.",TRUE
739.0,mostly-true,"Says if you try to hide marijuana in a hemp field, it becomes worthless. The THC goes away.",FALSE
747.0,barely-true,"Everywhere that we have more citizens carrying guns, crime is less. Theres a study showing that where states have open carry or concealed carry, but particularly open carry, the crime is down 25 percent.",partly-TRUE
748.0,half-true,"Weve seen 115,000 jobs created in the American auto industry since GM and Chrysler emerged from bankruptcy.",partly-TRUE
749.0,mostly-true,"Bill Nelson voted to confirm Sonia Sotomayor, who signed a Supreme Court opinion saying Americans do not have an individual right to own firearms.",partly-TRUE
750.0,barely-true,"The Stupak Amendment doesnt just say you cant use your federal insurance subsidy to pay for an abortion, it says, if youre getting a federal subsidy of any kind, youre not allowed to buy an insurance plan that covers abortion even with your own money.",partly-TRUE
761.0,FALSE,"Unfortunately, since Mr. Fosters been mayor ... there are less people employed in the city of St. Petersburg than there were prior to his taking office.",partly-TRUE
762.0,FALSE,"Says U.S. Rep. Ron Kinds stimulus cost taxpayers $278,000 per job.",partly-TRUE
765.0,barely-true,Congressman Joe Heck has (voted) 62% of the time with Nancy Pelosi and the Democrats on a variety of important issues.,partly-TRUE
768.0,barely-true,Bill McCollum said tax cuts don't work.,partly-TRUE
769.0,barely-true,The tax burden on Virginia families was lower under Tim Kaine than under George Allen.,partly-TRUE
770.0,FALSE,Says CharlieCrist made it easier for Duke to take your money.,partly-TRUE
772.0,barely-true,Already in Wisconsin we have seen fewer people pursuing education as a career due to the Act 10 collective bargaining law.,partly-TRUE
781.0,half-true,Jane Norton supported the largest tax hike in Colorado history.,partly-TRUE
785.0,mostly-true,"New Jerseys governor cut $1.6 billion from public education while handing out $2.1 billion in corporate tax breaks, more than the entire previous decade.",partly-TRUE
790.0,TRUE,The Milwaukee business community did not speak about the facts -- and in support of train manufacturer Talgo -- as the Milwaukee-Madison rail link was being killed.,partly-TRUE
798.0,TRUE,Says 97 percent of food stamp benefits are paid in the proper amounts to people who are really eligible.,partly-TRUE
803.0,FALSE,The Bundy Ranch deal is all about Nevada Sen. Harry Reid using federal violence to take peoples land in his state so he can package it to re-sell it to the Chinese.,FALSE
808.0,TRUE,Says Charlie Crist implemented Jeb Bushs A+ Plan.,FALSE
811.0,half-true,Says city of Portland has a one-time $22 million surplus,partly-TRUE
815.0,mostly-true,I cut more as a percentage out of government than any state in the country this past decade. And where is Michigan in terms of its economic growth? Cutting did not result in economic growth.,partly-TRUE
818.0,barely-true,Not one dime gets added to the deficit because of Social Security.,partly-TRUE
819.0,mostly-true,"The United States of America, right now, has the strongest, most durable economy in the world.",partly-TRUE
820.0,FALSE,Canada sets aside 36 percent of their visas for people with skills they think their country needs. We set aside 6 percent.,partly-TRUE
822.0,half-true,"There are 60,000 fewer jobs today in this state than we had in 2008.",partly-TRUE
824.0,TRUE,Says Republicans supported legislation on early voting and in-person voting in 2005.,partly-TRUE
825.0,half-true,"Chained CPI would save $1 trillion in the second decade off the federal budget debt, a report shows.",partly-TRUE
826.0,TRUE,Says Austin is the largest city in America without a congressional district anchored in it.,TRUE
827.0,barely-true,"A president must ""obtain Congress' consent before formally accepting the Nobel Prize.""",FALSE
832.0,TRUE,"Ms. Kagan has spent her entire professional career in Harvard Square, Hyde Park and the D.C. Beltway.",partly-TRUE
837.0,half-true,"Massachusetts under Gov. Mitt Romney initially ranked last among states in job growth, but by the end of his governorship, we were in the middle of the pack.",partly-TRUE
841.0,mostly-true,We are the only industrialized nation that doesnt guarantee workers paid family leave.,partly-TRUE
853.0,TRUE,One out of five of our children live in a family thats on food stamps.,partly-TRUE
855.0,half-true,"According to independent analysis, unfair trade deals have resulted in the loss of over 64,000 jobs in Wisconsin ... But Ron Johnson favors those deals.",partly-TRUE
858.0,half-true,"In the four years before I became governor, we increased state debt $5.2 billion. Weve paid it down $2 billion.",partly-TRUE
861.0,FALSE,Latina who enthusiastically supported Donald Trump on stage in Las Vegas in October 2015 has been deported.,partly-TRUE
863.0,half-true,"In 2009, the FBI referred more than 71,000 cases of people failing background checks when trying to buy a gun to another federal agency, but U.S. attorneys ultimately prosecuted only 77 of them.",partly-TRUE
864.0,mostly-true,Says Barack Obama is the first president in modern history not to have a single year of 3 percent growth.,partly-TRUE
865.0,barely-true,Half of all hospitalized seniors are suffering from malnutrition so severe that it either caused their illness or it prevents them from getting better.,partly-TRUE
868.0,mostly-true,"In 2012, Wall Street gave Scott Brown more campaign contributions than any other candidate -- $5.3 million.",partly-TRUE
869.0,mostly-true,$65 billion would be added to the deficit if we keep the cuts for people on the highest incomes.,partly-TRUE
