index,label,claim,results
91.0,TRUE,"Under Mayor Tom Barrett, the number of Milwaukee police officers has not increased.",mostly-true
92.0,barely-true,Taxpayers subsidize 80 percent of each MARTA trip,half-true
96.0,TRUE,"Before World War II, very few people actually had health insurance.",half-true
101.0,barely-true,"When Atlanta Police Chief George Turner was interim head of the department, overall crime fell 14 percent and violent crime dropped 22.7 percent.",mostly-true
105.0,half-true,Muslim nations did not call out the people who celebrated the 9/11 attacks.,FALSE
108.0,TRUE,Iran President Hassan Rouhani has more Cabinet members with Ph.D.s from American universities than members of Barack Obamas Cabinet.,TRUE
109.0,TRUE,"The words subhuman mongrel, which Ted Nugent called President Barack Obama, were used by the Nazis to justify the genocide of the Jewish community.",FALSE
110.0,FALSE,"(Barack Obama) says hes going to reduce the long-term debt and deficit by $4 trillion, doesnt say how hes going to do it.",half-true
111.0,FALSE,Birth control pioneer Margaret Sanger wasan active participant in the Ku Klux Klan.,FALSE
118.0,half-true,Says Mitt Romney flip-flopped on an assault weapons ban.,FALSE
121.0,barely-true,"When Tim Kaine was governor, spending soared, blowing holes in the budget every year.",FALSE
123.0,barely-true,"Neville Chamberlain told the British people: Accept the Nazis. Yes, they will dominate the continent of Europe, but that is not our problem. Lets appease them. Why? Because it cant be done. We cannot possibly stand against them.",mostly-true
125.0,mostly-true,Wisconsin is dead last in the Midwest for job creation.,FALSE
126.0,half-true,On running a civil and polite campaign.,TRUE
128.0,half-true,"The federal government reviewed and verified his administrations numbers showing Wisconsin added 23,608 jobs in 2011.",mostly-true
133.0,FALSE,Says state Sen. Sheila Harsdorf wants to eliminate Medicare as we know it.,FALSE
135.0,mostly-true,Says Bill Nelson voted 98 percent of the time with Barack Obama.,half-true
136.0,barely-true,I did not I did not I do not say that. I do not say that climate change is a hoax perpetrated by the Chinese.,FALSE
137.0,mostly-true,"In Florida we have 75,000 on (a) waiting list for child care and 23,000 on waiting lists for community care for the elderly.",FALSE
139.0,FALSE,I can tell you that the enhanced interrogation techniques that have since been banned by this administration specifically waterboarding work.,FALSE
140.0,FALSE,Virginia has made no progress on jobs since Bob McDonnell took office.,FALSE
143.0,TRUE,Ronald Reagan raised the national debt 18 times.,TRUE
145.0,TRUE,The number of inmates since 2000 on death row dying of natural causes has now surpassed the number of inmates executed.,FALSE
147.0,half-true,Republicans have proposed dozens of (health care) solutions designed to help control costs and improve quality.,TRUE
149.0,FALSE,Says Hillary Clinton has donated every cent shes ever earned from speaking fees to charity.,FALSE
153.0,half-true,About 1 percent of all the gun sellers are responsible for more than half of the guns that are used in crimes.,TRUE
155.0,TRUE,Texas is the state that has now gone the longest without electing a Democrat statewide.,TRUE
157.0,TRUE,"Today, if you were raised poor, youre just as likely to stay poor as you were 50 years ago.",FALSE
162.0,half-true,Says Clackamas County has more urban renewal debt than all the other Oregon counties combined.,mostly-true
163.0,FALSE,NASA scientists fudged the numbers to make 1998 the hottest year to overstate the extent of global warming.,barely-true
171.0,FALSE,On the Bush tax cuts.,half-true
172.0,mostly-true,Over half of the black workers in this country earn less than $15 an hour.,half-true
174.0,TRUE,Sixteen million jobs were created under Ronald Reagans presidency.,half-true
176.0,barely-true,"Barack Obama's health care plan ""will cost taxpayers $1,700 more to cover each new person.""",FALSE
177.0,TRUE,Barack Obama ... 96 percent of his votes have been solely along party line.,FALSE
178.0,half-true,President Obama and Nancy Pelosi said Obamacare would save money because they factored in 10 years worth of tax revenue and only six and half years worth of expenses.,TRUE
179.0,TRUE,"John McCain ""has not led on nonproliferation issues when he had the chance in the Senate.""",half-true
180.0,TRUE,Says American polling shows Russian President Vladimir Putin has an 80 percent approval rating.,FALSE
181.0,TRUE,Pasco County schools have graduation rates substantially higher than the state average and dropout rates below the state average.,mostly-true
187.0,mostly-true,Today many Florida teachers are at risk of having their pay impacted by the performance of children who are not even in their classrooms or subject areas.,mostly-true
189.0,TRUE,Says Barack Obama promised he would cut the deficit in half but didnt.,mostly-true
194.0,barely-true,The U.S. Constitution owes its notion of democracy to the Iroquois Tribes.,FALSE
198.0,TRUE,Health care premiums for consumers have doubled since 2001.,FALSE
201.0,FALSE,"Under Lt. Gov. Lee Fisher, Ohio is 44th in the country in terms of getting money actually into worker retraining.",mostly-true
204.0,mostly-true,"By a two-to-one margin, Rhode Islanders want to ban assault weapons and we have a very small percentage of gun owners in this state, less than 13 percent.",half-true
207.0,mostly-true,"Says 315,000 mostly minority Texas students are enrolled in failing schools.",FALSE
208.0,FALSE,"Says At age 76 when you most need it, you are not eligible for cancer treatment under Affordable Care Act.",FALSE
211.0,barely-true,"If you look at the results of Obamacare, what you see is emergency room visits are up over 50 percent.",FALSE
213.0,FALSE,Four state Assembly Democrats scored a death blow to northeast Wisconsins economy by killing hundreds of jobs at a potential Bass Pro Shops near Green Bay.,TRUE
214.0,TRUE,The president campaigned against this type of legislation.,FALSE
217.0,barely-true,What president has the worst record on female labor force participation? Barack Obama.,FALSE
220.0,barely-true,"Seven hundred thousand. Thats how many California jobs will be lost thanks to the politicians raising the minimum wage.Now Florida is adding one million jobs, not losing them.",mostly-true
222.0,FALSE,"The percentage of black children born without a father in the home has risen from 7 percent in 1964 to 73 percent today, due to changes from President Lyndon Johnsons Great Society.",barely-true
223.0,TRUE,I said no to these big bank bailouts.,half-true
224.0,mostly-true,People have a constitutional right to have semiautomatic rifles.,mostly-true
230.0,barely-true,"Says Congressman Jon Runyan does not want to cut taxes for the middle class, but only for millionaires.",mostly-true
231.0,half-true,On his half pay pledge.,FALSE
234.0,barely-true,Gov. Rick Scott backed the federal shutdown.,FALSE
236.0,mostly-true,"As weve seen that federal support for states diminish, youve seen the biggest job losses in the public sector -- teachers, police officers, firefighters losing their jobs.",mostly-true
239.0,mostly-true,Ohio ranks 46th in the country in putting dollars in the classroom.,TRUE
242.0,half-true,Under Hillary Clintons plan illegal immigrants convicted of committing crimes get to stay.,FALSE
243.0,FALSE,"The Obama administration leaked information, deliberately or otherwise, that led to the identification of the Pakistani doctor that helped us in achieving our goals and killing bin Laden.",mostly-true
245.0,mostly-true,"Says, when this governor came to office, he had (an) 11 billion dollar - I call it mismanagement deficit.",FALSE
247.0,FALSE,Says President Barack Obama spent nearly a trillion dollars on make-work government jobs.,FALSE
248.0,mostly-true,"Among Hispanics, support for immigration reform is close to universal.",FALSE
251.0,half-true,Says 95 percent of people caught crossing the U.S.-Mexico border said in a survey we are coming because weve been promised amnesty.,TRUE
254.0,mostly-true,"When we started this health care debate a year ago, 85 percent of the American people had health insurance, and 95 percent of the 85 percent were happy with it.",FALSE
255.0,TRUE,"Since John F. Kennedy was assassinated in 1963, more Americans have died by gunfire within our own country than American servicemen and women who were killed in all our wars.",TRUE
257.0,barely-true,"In the 513 days between Trayvon dying, and todays verdict, 11,106 African-Americans have been murdered by other African-Americans.",FALSE
259.0,mostly-true,"He received ""A"" ratings from ""every conservative organization that gives ratings.""",FALSE
264.0,barely-true,There are literally teachers now who are getting pink slips because of sequestration.,barely-true
266.0,TRUE,"Last weeks three most-viewed television programs wereSunday Night Football, Thursday Night Football and Monday Night Football.",FALSE
270.0,FALSE,"If you and I fail to defund ObamaCare now, some 16,000 new IRS agents will be begin prying into our private medical records, eyeing each and every one of our treatments and prescriptions for violations.",mostly-true
278.0,half-true,Saturday Night Live executive producer Lorne Michaels could be put in jail under this amendment for making fun of any politician.,mostly-true
279.0,FALSE,"When he worked for ATT, he ""was responsible for large parts in a $5 billion organization.""",mostly-true
280.0,mostly-true,"6,400 Ohioans ... lost manufacturing jobs in the month of September.",half-true
287.0,mostly-true,It is already in the law that there is a requirement to screen (refugees) for religion.,FALSE
289.0,half-true,"I did very well with young people in Ohio, Massachusetts, California.",FALSE
293.0,FALSE,"The EPA wants to hire 230,000 new government regulators that will cost the taxpayer $21 billion.",mostly-true
294.0,FALSE,"If the Trans-Pacific Partnership is fast-tracked through the Senate, it wont receive a committee assignment and the consideration will include no debate.",mostly-true
297.0,TRUE,"The Keystone pipeline creates 35 permanent jobs after construction, according to a government report.",mostly-true
299.0,barely-true,We're going to have more troops (in Afghanistan) . . . than the Russians had.,half-true
301.0,barely-true,Florida is investing record amounts of funding for HIV/AIDS prevention.,half-true
302.0,mostly-true,There's only four senators senior to me ... there's still 44 older than me.,FALSE
305.0,TRUE,Rhode Islands exports have increased by 53 percent in the last two years.,FALSE
308.0,half-true,"More than 250 (voter registration) groups, ranging across the entire political spectrum, have filed with the state and are registering voters right now.",FALSE
311.0,half-true,"A planning group said that to meet anticipated traffic demands by 2035, Interstate 35 between Austin and Round Rock will need a dozen additional lanes going north and 14 additional southbound lanes.",TRUE
314.0,mostly-true,A voucher school that closed after 9 days this year collected $5.4 million in taxpayer subsidies since first opening.,half-true
315.0,FALSE,Rhode Islands unemployment insurance system is the most expensive such system in the country.,FALSE
325.0,mostly-true,Says his state budget will provide an increase in state funding for the 2011-12 school year.,FALSE
327.0,TRUE,Sayvideo shows massive alligator strolling across Florida golf course.,mostly-true
329.0,mostly-true,"We're spending $1.6 billion for all of Latin America in terms of aid and assistance, a fraction of what we're spending in Iraq, the $500 billion we've spent there",half-true
330.0,TRUE,"If you look at the number of illegal immigrants coming into the country, it is net zero. Its been that way now for almost two years.",FALSE
331.0,half-true,Weve introduced a bill that includes $12 billion in cuts over the next week.,mostly-true
333.0,FALSE,"Says Joseph Stalin said if you want to bring America down you, have to undermine three things: our spiritual life, our patriotism and our morality.",half-true
338.0,barely-true,"Across the country, more than half of the U.S. attorney seats remain without a prosecutor chosen by Obama.",mostly-true
339.0,FALSE,The Red Sox waited 87 long years to win the World Series.,FALSE
340.0,TRUE,Almost every state has offered an insurance plan on its health exchange that does not cover abortion.,FALSE
341.0,FALSE,"The largest tax increase that we have ever had in our state is yours it is the business margins tax that you signed, governor.",TRUE
342.0,TRUE,Georgia has the second-highest rate of childhood obesity in the United States.,half-true
344.0,half-true,A recall election for Wisconsin governor would cost $7.7 million -- $7.7 million that may already be allocated to merit raises for teachers or health care for the poor or school books for your kids.,barely-true
345.0,half-true,Says my plan is a property tax cut.,mostly-true
349.0,barely-true,"As a prosecutor, Wisconsin Supreme Court Justice David Prosser did not investigate or file charges in a case involving 30-year pedophile priest, then participated in cover-up.",FALSE
353.0,half-true,Says Texas GOP platform calls for end to teaching critical thinking in public schools.,half-true
355.0,FALSE,A picture shows former President Bill Clinton naked with another woman.,FALSE
356.0,FALSE,"There is no disagreement that we need action by our government, a recovery plan that will help to jump-start the economy.",FALSE
357.0,barely-true,If you want out of the individual mandate... all you have to do now is tick off the box that says hardshipand youre out.,half-true
358.0,barely-true,"Many Nevadans relied on Uber for work, but after accepting $70,000 from taxi companies, Catherine Cortez Masto went after Uber ... (driving) them out of town.",TRUE
360.0,half-true,"Last month, 44 of the 50 states saw an increase in the unemployment rate.",FALSE
361.0,FALSE,Wind power is the most undependable form of renewable energy.,FALSE
365.0,TRUE,"Tommy Thompson created the first school choice program in the nation, giving thousands of Milwaukee students the choice of where they go to school no matter where they live or how much money their parents make.",half-true
367.0,FALSE,"McCain ""still thinks it's okay when women don't earn equal pay for equal work.""",half-true
368.0,TRUE,"The Baucus bill ""contains provisions that would send massive federal subsidies directly to both private insurance plans and government-chartered cooperatives that pay for elective abortion.""",FALSE
374.0,TRUE,He (Obama) chairs the subcommittee on Europe. ... He's held not one substantive hearing to do oversight.,FALSE
380.0,barely-true,You had supported John McCain's military strategies pretty adamantly until this race.,half-true
381.0,half-true,Says critics who say he cut Medicaid are wrong; his budget added $1.2 billion to the program,TRUE
385.0,TRUE,Nothing in the Constitution explicitly guarantees our right to vote.,FALSE
386.0,half-true,Sherrod Brown and his special interest allies in Washington are plotting to spend over $13 million to defeat Josh Mandel.,TRUE
388.0,mostly-true,Says Gov. Scott Walkers proposed state budget contained 110 pages of errors -- an unusually high number -- and millions of dollars worth of mistakes that were corrected with a follow-up document.,TRUE
391.0,TRUE,"In the last 10 years, Georgias middle class income has dropped $6,500.",FALSE
392.0,TRUE,Rooting for the Red Sox is like rooting for the drug companies.,FALSE
399.0,TRUE,"Medicare costs have slowed down dramatically. In fact, the first two months of this fiscal year, Medicare costs were down even in nominal terms relative to the previous year.",half-true
401.0,half-true,U.S. Rep. Connie Mack voted to raise his own pay several times.,FALSE
402.0,mostly-true,No poll done this year ... shows less than a majority to reinstate a federal ban on assault weapons.,half-true
404.0,FALSE,"In the 2012 election, there were more votes cast than registered voters in St. Lucie County, and Palm Beach County had 141 percent turnout.",TRUE
406.0,mostly-true,Says Romney called Russia our No. 1 enemy.,TRUE
407.0,FALSE,Theres been no conclusive or specific report to say Russia was trying to muddy the election.,barely-true
408.0,FALSE,Says Christopher Little has a history of working against environmental protection by defending the worst types of corporate polluters,FALSE
410.0,half-true,"Opponents of Section 5 (of the Voting Rights Act) complain of state expense, yet their only cost is the paper, postage and manpower required to send copies of legislation to the federal government for review.",TRUE
411.0,barely-true,Says Nick Kahl made it harder for many families to cover basic health care expenses.,FALSE
412.0,barely-true,"In California, the windmills are killing hundreds and hundreds of eagles.",FALSE
413.0,TRUE,"There is nothing in the current state public records law that prohibits sensitive or confidential business information from being just that, confidential.",mostly-true
414.0,mostly-true,We did not even have a federal income tax in this country until 1913.,barely-true
417.0,FALSE,Says Gov. Scott Walker dropped out or was kicked out of college short of a degree not long after he was kicked out of student elections at Marquette University.,FALSE
418.0,barely-true,Eliminating affirmative action in admissions in Florida led to more African American and Hispanic kids attending our university system than before.,barely-true
420.0,barely-true,Federal stimulus money went to a Georgia Tech project that will apparently involve the professor jamming with world-renowned musicians to hopefully also create satisfying works of art.,TRUE
422.0,mostly-true,"When these same Republicans - including Mr. Boehner - were in charge, the number of earmarks and pet projects went up, not down.",mostly-true
425.0,TRUE,"Before the Republican wave in 2010, Democrats had an advantage on the generic ballot in Congress. Even in 1994 with the Gingrich revolution ... Democrats had that advantage.",mostly-true
428.0,barely-true,"In labor negotiations with city employees, Milwaukee Mayor Tom Barrett demanded concessions that went beyond those mandated by Gov. Scott Walkers collective bargaining law",FALSE
431.0,barely-true,"Sources show (Connie) Mack as a resident of California, living with his wife in Palm Springs.",FALSE
434.0,FALSE,"Says Ohio Rep. Marcy Kaptur actually lives in a fancy condo in the Washington, D.C. suburbs.",half-true
442.0,TRUE,"The State Election Board has issued nearly $275,000 in fines to violators of absentee ballot laws.",FALSE
444.0,half-true,"While 9,000 state employees were added to the states payroll, Oregons revenue forecasts dropped by more than $4 billion.",FALSE
448.0,FALSE,The government is trying to now close the Lincoln Memorial for any kind of large gatherings.,half-true
449.0,barely-true,You know what (Saddam Hussein) did well? He killed terrorists.,FALSE
450.0,barely-true,The average age of the minimum wage worker is 35 years old.,mostly-true
459.0,FALSE,On redistricting.,TRUE
462.0,half-true,"Says Democrat Hank Gilbert has a criminal conviction for theft, has multiple years of unpaid taxes, has multiple tax liens and fines, unsafe driving convictions (and) has recently been accused of taking a bribe and is on record lying to the press this year about his criminal record.",TRUE
466.0,barely-true,Were taxing our small businesses now at rates higher than corporations.,mostly-true
469.0,mostly-true,Says Donald Trump once suggested that he would try to negotiate down the national debt.,mostly-true
470.0,mostly-true,"Says DonaldTrump got, you know, $1.8 billion worth of free media. I got, like, none.",half-true
471.0,mostly-true,"When I withdrew in June of 2008, polls were showing that at least 40 percent of my supporters said, oh, they werent going to support Sen. Obama.",FALSE
474.0,half-true,The increase in the current state budget was greater than the inflation rate and the rate of population growth in Georgia.,FALSE
475.0,FALSE,Six thousand people have sought addiction treatment through expanded Medicaid.,mostly-true
476.0,mostly-true,"When students leave our high schools and they go to the community college, 70-75 percent of them have to pay to take remedial math.",mostly-true
478.0,barely-true,It is a fact that it costs more to run the schools in August.,mostly-true
479.0,FALSE,The problem with raising tax rates on the wealthiest Americans is that more than half of them are small business owners.,FALSE
482.0,half-true,"Ninety-six percent of failing schools are spending above $8,400, the average annual per student expenditure, and 26 percent spend considerably more than that.",mostly-true
484.0,half-true,"Military spending cuts, known as the sequester, were President Barack Obamas idea.",half-true
486.0,barely-true,Clinton aides admit it (a gas tax holiday) won't do much for you but would help her politically.,FALSE
488.0,mostly-true,"First, he was in favor of my plan, now he's attacking it.",FALSE
490.0,TRUE,Halliburton gave Dick Cheney a $34 million payout when he left the company to join the presidential ticket.,FALSE
498.0,half-true,Jennifer Carrolls an outsider.,FALSE
499.0,FALSE,Hedge fund managers pay less in taxes than nurses and truck drivers.,TRUE
500.0,mostly-true,Says President Barack Obamas approval rating gained 3 points in the last couple months.,mostly-true
501.0,mostly-true,"In the city of Milwaukee, weve still got a mayor and a police chief who are furloughing police officers at a time when we have violence all across the city.",half-true
506.0,FALSE,"In early voting in Miami-Dade County, there is a trickle of two or three people a day at a very high cost to keep those public libraries and polls open.",mostly-true
508.0,half-true,"Says Mitt Romneys housing policy is, Dont try and stop the foreclosure process. Let it run its course and hit the bottom.",TRUE
510.0,TRUE,"Whether the Amendment passes or not, the medical use of marijuana is a federal criminal offense.",half-true
514.0,FALSE,"The big Wall Street banks, the big corporations give many times more political donations to Democrats than Republicans.",half-true
517.0,TRUE,The War in Afghanistan is officially the longest war Americans have ever been asked to endure.,mostly-true
519.0,FALSE,Says in Texas its legal to shoot someone whos committing a public nuisance under the cover of dark.,FALSE
521.0,mostly-true,Individuals and small businesses will be hit by increases in health insurance premiums as high as 39 percent.,mostly-true
522.0,mostly-true,Says Barack Obamas comments indicate he believes in redistribution of wealth.,half-true
523.0,half-true,"Says of the 2,000 Portland households in the year-long (composting) pilot, 87 percent of participants reported being satisfied with the overall system.",TRUE
526.0,FALSE,"All of Texas is conservative, except a little bit of Austin.",FALSE
527.0,TRUE,"Under this tax cut, middle-class families dont save enough for a weeks worth of groceries, while millionaires save enough to go on an exotic vacation.",mostly-true
529.0,FALSE,Says the word Dhimmitude is on page 107 of the health care law and means Muslims are specifically exempted from the government mandate to purchase insurance.,FALSE
531.0,half-true,On the National Animal Identification System.,TRUE
537.0,mostly-true,The problem of unwanted sexual contacts in the military is not just a womans issue. More than half of the victims are men.,mostly-true
538.0,TRUE,Says a study shows that children who live with a biological parent and the parents boyfriend or girlfriend have a 20 times greater chance of being sexually abused.,half-true
543.0,half-true,"Says I am happy to decline PERS so that the County can save over $68,000 over a four year term that would have been paid on my behalf.",mostly-true
544.0,half-true,Says Chris Dudley thinks Oregons minimum wage is too high.,mostly-true
545.0,FALSE,Over half the people on disability are either anxious or their back hurts.,FALSE
547.0,TRUE,"Today California is kicking our butt, creating more jobs and more economic growth than Texas.",FALSE
549.0,barely-true,"All of Floridas four-year state colleges now offer bachelors degrees for only $10,000.",mostly-true
553.0,FALSE,"In the U.S. Constitution, theres a little section in there that talks about life, liberty and the pursuit of happiness.",TRUE
555.0,mostly-true,I have something in common with my husband. He never carried caucuses either. He lost all of the ones that I've lost.,FALSE
558.0,half-true,"In Cobb County, every meeting opened with a prayer. The ACLU objected. Sued ... [Sam] Olens took on the ACLU and won!",FALSE
559.0,TRUE,Felony crimes in the city of Atlanta are the lowest they have been since 1969.,mostly-true
560.0,TRUE,Both the Democratic and Republican candidates for president in 2016 are quite unpopular.,TRUE
561.0,half-true,Republicans are attempting to remove Barack Obama from Georgias Presidential Ballot in 2012.,TRUE
562.0,barely-true,"Says Hillary Clinton takes tens of millions of dollars from countries that hate women, that disrespect women, that throw gays off of buildings.",FALSE
565.0,FALSE,"Fluoride in the water, that was originally done by the Nazis!",FALSE
571.0,mostly-true,"In the 2014 election, 80 percentofpoor people did not vote.",FALSE
572.0,mostly-true,Says the Nike bill is not a tax break ... this does not lower the taxes that Nike will pay nor does it prevent the Legislature from raising those taxes in the future.,TRUE
573.0,half-true,"Thanks to the Trans-Pacific Partnership, Vietnam is drafting and presenting unprecedented labor reforms, changing their Constitution to recognize worker organizations in Vietnam for the first time.",half-true
575.0,half-true,District 22 includes about 80% of the district I have represented since 2010. District 20 includes about 20% of the area I have represented since 2010.,TRUE
577.0,mostly-true,"When lenders foreclose on homes, they typically suffer losses that exceed 30 percent of the value of the home.",TRUE
579.0,barely-true,"We haven't built a refinery, I think, in 30 years.",barely-true
584.0,FALSE,Says more Republicans than Democrats voted for the Wall Street bailouts.,FALSE
585.0,half-true,Says a prank phone call caused 400 children to be taken from their parents... without warrant.,FALSE
586.0,FALSE,A bill that could restrict free speech when the president is nearby was signed by President Barack Obama in secret.,FALSE
587.0,barely-true,Californias Prop 55 prevents $4 billion in new cuts to our schools.,half-true
597.0,half-true,The Democrat-led Senate has failed to pass a budget for 750 days ... Senate Democrats have neglected one of their most basic responsibilities.,FALSE
598.0,FALSE,On Common Core.,mostly-true
599.0,FALSE,Says Ron Johnson helped companies ship jobs overseas.,half-true
600.0,FALSE,Florida Democrats just voted to impose Sharia law on women.,FALSE
601.0,half-true,Says opponent Beto ORourke wants to legalize drugs.,mostly-true
603.0,TRUE,Ninety-seven percent of Americans do not receive subsidies for health care under the Affordable Care Act.,barely-true
604.0,FALSE,Our economy is not growing.,half-true
607.0,FALSE,Says state Senate candidate Monk Elmer voted to exceed the (school district property tax) spending caps.,FALSE
613.0,FALSE,"Says Texas has so few gas-pump inspectors in the field, the HEBs of this state, the Brookshires of this state, theyre calibrating their own gas pumps. The (Texas Department of Agriculture) just sends them the stickers and they calibrate them.",FALSE
616.0,mostly-true,"A mortgage buyback plan is ""my proposal, it's not Sen. Obama's proposal, it's not President Bush's proposal.""",TRUE
618.0,FALSE,Senator Obama has voted 94 times to either increase your taxes or against tax cuts.,mostly-true
621.0,half-true,Narragansett Bay waters are getting warmer -- 4 degrees Fahrenheit warmer in the winter since the 1960s.,TRUE
625.0,FALSE,Says President Barack Obama said that American exceptionalism is no more exceptional than the exceptionalism of any other country.,FALSE
626.0,barely-true,Says Barack Obamas favorability rating in Israel once clocked in at 4 percent.,FALSE
630.0,half-true,One in five American households have nobody under the same roof thats got a job.,half-true
632.0,half-true,Obamas mid-term approval ratings are similar to other presidents who went on to re-election.,half-true
633.0,TRUE,I saved the taxpayers $2-billion on a bogus Air Force Boeing tanker deal where people went to jail.,FALSE
634.0,FALSE,Says the fluoride Austin is putting in its drinking water is toxic waste.,FALSE
635.0,barely-true,The new light bulbs will cost roughly six times the cost of the light bulbs we now use.,half-true
636.0,half-true,Only three in 10 young Americans under 30 -- 30 percent under 30 -- have full-time work.,FALSE
638.0,barely-true,"Through the Clinton Foundation, the Clintons are now worth in excess of $100 million.",FALSE
640.0,TRUE,"A telephone company will no longer have to provide landline service to customers if there is an alternative provider, including wireless.",TRUE
647.0,FALSE,A few weeks ago Obama took Hamas and Iran OFF the terror list.,FALSE
648.0,FALSE,"Once a woman enters into the sex trade, her average life expectancy is seven years.",FALSE
652.0,barely-true,John Boozman supports privatizing Social Security,TRUE
656.0,TRUE,"One in every five families in the state of New Jersey has a loved one with a mental illness, a serious mental illness, and today, we dont care.",FALSE
666.0,barely-true,Wendy Davis legal work is currently under FBI investigation.,FALSE
673.0,TRUE,All private healthcare plans must conform to government rules to participate in a Healthcare Exchange.,half-true
675.0,barely-true,"Obama supports ""teaching schoolchildren in 2nd grade, no less about homosexual relationships.""",FALSE
679.0,half-true,Secure Communities has a proven track record of enhancing public safety by focusing on violent offenders and those that pose a threat to our communities and our national security.,FALSE
681.0,TRUE,"The 1990s were a time of prosperity. We created more than 22-million new jobs, moved 8-million people out of poverty, and turned our economy around.",mostly-true
685.0,FALSE,All the talk about socialism during the campaign made young people more interested in it by Election Day.,half-true
686.0,TRUE,Ive done more impeachments than anybody else in the history of the country.,FALSE
692.0,FALSE,A $250 fine if youre caught with a plastic bag coming out of a store. Plastic bag police anyone?,half-true
693.0,FALSE,"In countries where there are higher, more strict gun laws, there is more gun violence.",half-true
696.0,half-true,There never really was a Hastert Rule.,FALSE
699.0,half-true,Says Rick Santorum opposes right-to-work,half-true
701.0,half-true,Virginia ranked near the bottom of the nation 50 years ago in per capita income but is in the top 10 today. It had a very low rate of higher education attainment but is now above the national average.,half-true
702.0,half-true,Says (Clinton) called President Assad a reformer. She called Assad a different kind of leader.,FALSE
