Unnamed: 0,verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link,results
14,true,Keith Pekau,We’ve reduced crime to its lowest level in 27 years.,4/11/2022,campaign,Analisa Trofimuk,5/1/2022,https://www.politifact.com/factchecks/2022/may/01/keith-pekau/orland-park-mayor-says-crime-lowest-nearly-three-d/,FALSE
15,mostly-true,Ralph Northam,"""We’ve brought in more than $81 billion in economic investment, more than four times any previous administration.""",1/12/2022,speech,Warren Fiske,1/14/2022,https://www.politifact.com/factchecks/2022/jan/14/ralph-northam/northams-economic-development-claim-largely-holds/,FALSE
18,mostly-true,Joe Biden,"""Millions of hardworking Americans will no longer have to worry about unexpected medical bills.""",2/10/2022,speech,Victoria Knight,3/1/2022,https://www.politifact.com/factchecks/2022/mar/01/joe-biden/bidens-blanket-statement-no-more-surprise-billing-/,TRUE
20,mostly-false,Ron Johnson,"Federal border officials are allowing undocumented immigrants who are ""known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.""",2/4/2022,news,Laura Schulte,3/4/2022,https://www.politifact.com/factchecks/2022/mar/04/ron-johnson/immigrants-who-are-known-criminals-are-not-using-a/,FALSE
21,half-true,David Willis,"There are now zero students, staff or anyone ""related to the school system"" in Union County"" hospitalized with COVID-19, despite harsh criticism of school COVID policy.",2/17/2022,speech,Paul Specht,3/2/2022,https://www.politifact.com/factchecks/2022/mar/02/david-willis/nc-lawmaker-misleads-about-union-county-covid-case/,FALSE
22,half-true,Gary Chambers Jr.,"""One in 13 Black Americans are deprived of the right to vote.""",2/9/2022,campaign,Amy Sherman,2/15/2022,https://www.politifact.com/factchecks/2022/feb/15/gary-chambers/fact-checking-louisiana-democrats-claim-about-blac/,FALSE
23,mostly-false,Facebook posts,"Baby boomers didn’t have autism, seizures, allergies and other ailments when they were kids.",5/18/2022,social_media,Ciara O'Rourke,6/9/2022,https://www.politifact.com/factchecks/2022/jun/09/facebook-posts/autism-allergies-and-other-diseases-and-disorders-/,FALSE
24,mostly-false,Josh Hawley,"Judge Ketanji Brown Jackson ""gave child porn offenders sentences below the guidelines and below what the prosecutors were requesting,"" showing she is ""soft on child pornography offenders.""",3/21/2022,news,Jon Greenberg,3/24/2022,https://www.politifact.com/factchecks/2022/mar/24/josh-hawley/josh-hawley-misleads-judge-jackson-and-child-porno/,FALSE
25,mostly-true,Instagram posts,A Texas GOP lawmaker recently introduced a bill that would allow the death penalty for women who have an abortion.,5/7/2022,social_media,Gabrielle Settles,6/28/2022,https://www.politifact.com/factchecks/2022/jun/28/instagram-posts/headline-about-texas-lawmakers-anti-abortion-bill-/,TRUE
27,mostly-false,Deb Butler,"the ""NC appeals court"" acknowledged the state’s election maps ""are skewed,"" but didn’t block them because they are ""partisan hacks.""",1/12/2022,social_media,Paul Specht,1/21/2022,https://www.politifact.com/factchecks/2022/jan/21/deb-butler/nc-legislator-inaccurately-describes-redistricting/,FALSE
28,true,Jennifer Konfrst,Only 2% of K-12 students would benefit from Iowa’s school voucher bill.,3/21/2022,news,Lauren White,4/7/2022,https://www.politifact.com/factchecks/2022/apr/07/jennifer-konfrst/iowas-student-first-voucher-bill-would-benefit-2-p/,TRUE
31,true,Abigail Spanberger,"""The four big meat packers are raking in record profits … """,6/16/2022,news,Warren Fiske,6/30/2022,https://www.politifact.com/factchecks/2022/jun/30/abigail-spanberger/big-four-meat-packers-are-seeing-record-profits-sp/,FALSE
33,mostly-true,Jeffrey Toobin,"""There has never been a leak anything like this"" draft of a Supreme Court opinion that would overturn Roe v. Wade. ""There’s never been a leak of a vote — much less an actual opinion, much less in a case of this significance.""",5/2/2022,news,Madison Czopek,5/4/2022,https://www.politifact.com/factchecks/2022/may/04/jeffrey-toobin/sometimes-scotus-leaks-happen-leaked-majority-opin/,FALSE
35,false,Viral image,Photo shows a Russian tank Ukrainians are selling on eBay.,3/2/2022,social_media,Ciara O'Rourke,3/4/2022,https://www.politifact.com/factchecks/2022/mar/04/viral-image/no-isnt-photo-russian-tank-sale-ebay/,FALSE
39,mostly-false,Mike Gibbons,"""As Ohio treasurer, Josh Mandel loaned your money to Chinese business interests, and Mandel opposed a bill holding Communist China accountable when they cheated and stole American jobs.""",4/7/2022,advertisement,Tom Kertscher,4/22/2022,https://www.politifact.com/factchecks/2022/apr/22/mike-gibbons/ohio-us-senate-race-gibbons-levels-misleading-atta/,FALSE
41,mostly-false,Tom Tiffany,"The Biden administration has been ""recklessly releasing potentially dangerous Afghans into our communities.""",2/18/2022,social_media,Alan Hovorka,5/13/2022,https://www.politifact.com/factchecks/2022/may/13/tom-tiffany/tiffany-overstates-report-shortcomings-afghan-vett/,FALSE
42,true,Gary Black,"In 2020, when Raphael Warnock ran a campaign ad featuring himself with a beagle, ""that wasn’t his dog.""",5/13/2022,radio,Louis Jacobson,5/23/2022,https://www.politifact.com/factchecks/2022/may/23/gary-black/was-beagle-raphael-warnocks-2020-tv-ad-his-dog/,FALSE
44,mostly-false,Sean Ryan,"""New York state has already lost 99% of its historic freshwater wetlands.""",3/3/2022,news,Elizabeth Egan,3/29/2022,https://www.politifact.com/factchecks/2022/mar/29/sean-ryan/has-new-york-state-lost-99-its-historical-range-we/,FALSE
49,mostly-true,Facebook posts,"""More people die from hands, fists, feet, than rifles.""",5/25/2022,blog,Jeff Cercone,5/27/2022,https://www.politifact.com/factchecks/2022/may/27/facebook-posts/fbi-data-shows-lower-deaths-hands-fists-feet-rifle/,TRUE
51,true,John Cornyn,"""100,000 Americans died of an overdose in a single year.""",2/14/2022,social_media,Nusaiba Mizan,2/21/2022,https://www.politifact.com/factchecks/2022/feb/21/john-cornyn/cornyn-right-drug-overdose-deaths-topped100000-nat/,FALSE
55,mostly-false,Iowa Republican Party,"When asked if she supports the Build Back Better bill, Abby Finkenauer said that she didn’t know what was in it.",1/24/2022,news,Nina Baker,1/28/2022,https://www.politifact.com/factchecks/2022/jan/28/iowa-republican-party/iowa-gop-deceptively-edits-abby-finkenauers-commen/,FALSE
56,false,Facebook posts,"""Don't let this formula shortage scare you!!! Make your baby some hemp milk w/sea moss. It’s easy I promise!""",5/11/2022,blog,Monique Curet,5/19/2022,https://www.politifact.com/factchecks/2022/may/19/facebook-posts/certain-combinations-homemade-baby-formula-includi/,FALSE
59,mostly-true,Joe Biden,"""When we passed the assault weapons ban, mass shootings went down. When the law expired, mass shootings tripled.""",5/24/2022,speech,Jon Greenberg,5/25/2022,https://www.politifact.com/factchecks/2022/may/25/joe-biden/joe-biden-said-mass-shootings-tripled-when-assault/,FALSE
60,mostly-false,Mark Brnovich,Increased encounters at the southwest border in April 2022 compared to April 2020 are attributable to changes in border policy.,5/23/2022,social_media,Maria Ramirez Uribe,6/2/2022,https://www.politifact.com/factchecks/2022/jun/02/mark-brnovich/despite-uptick-border-encounters-policies-adults-t/,FALSE
63,mostly-false,Ben Shapiro,"""There is no evidence Biden’s spending produced one job. Nonpartisan projections for job growth in 2021, not including that American Rescue Plan, showed higher job growth than Biden produced.""",3/1/2022,social_media,Jeff Cercone,3/9/2022,https://www.politifact.com/factchecks/2022/mar/09/ben-shapiro/ben-shapiro-claimed-bidens-job-figures-2021-didnt-/,FALSE
65,false,Instagram posts,"New Zealand Prime Minister Jacinda Ardern said her country doesn’t have to deal with the ""rage of older white men"" because ""we’ve never allowed Rupert Murdoch to set up a media outlet here.""",4/4/2022,social_media,Samantha Putterman,4/5/2022,https://www.politifact.com/factchecks/2022/apr/05/instagram-posts/bogus-quote-about-rupert-murdoch-white-men-attribu/,FALSE
66,false,Watts Up With That,"""Facebook is spamming all climate articles by misleading readers about"" the accuracy of climate models.",1/31/2022,blog,Jon Greenberg,2/4/2022,https://www.politifact.com/factchecks/2022/feb/04/watts/checking-claim-facebook-oversells-accuracy-climate/,FALSE
68,mostly-false,Brian Kemp,"""David Perdue voted with liberals"" for $10 trillion ""in new debt, his out-of-control federal spending is driving inflation through the roof.""",5/10/2022,advertisement,Tom Kertscher,5/19/2022,https://www.politifact.com/factchecks/2022/may/19/brian-kemp/georgias-governors-race-brian-kemps-attack-david-p/,TRUE
74,half-true,Wisconsin Initiative,"""Gov. Tony Evers brought Republicans and Democrats together to cut income taxes for the middle class.""",2/23/2022,advertisement,Madeline Heim,3/22/2022,https://www.politifact.com/factchecks/2022/mar/22/wisconsin-initiative/claim-evers-brought-republicans-and-democrats-toge/,FALSE
75,mostly-false,Bill O'Reilly,"""As soon as Biden took office, he eliminated all subsidies for fossil fuels.""",3/15/2022,social_media,Louis Jacobson,3/17/2022,https://www.politifact.com/factchecks/2022/mar/17/bill-oreilly/bill-oreillys-misleading-statement-biden-and-fossi/,TRUE
77,half-true,John Cornyn,"Judge Ketanji Brown Jackson called former President George W. Bush and former Defense Secretary Donald Rumsfeld as ""war criminals in a legal filing.""",3/22/2022,testimony,Madison Czopek,3/24/2022,https://www.politifact.com/factchecks/2022/mar/24/john-cornyn/ketanji-brown-jackson-didnt-call-bush-rumsfeld-war/,FALSE
78,half-true,Facebook posts,"Photos show ""Ukrainian Christians pray outdoors, in the snow, for their country in this phase of war danger.""",2/20/2022,social_media,Luiz Romero,2/25/2022,https://www.politifact.com/factchecks/2022/feb/25/facebook-posts/photos-ukrainians-praying-phase-war-danger-are-act/,FALSE
79,mostly-true,Facebook posts,"Omicron is ""the fastest-spreading virus known to humankind.""",1/5/2022,social_media,Monique Curet,1/20/2022,https://www.politifact.com/factchecks/2022/jan/20/facebook-posts/omicron-variant-fastest-spreading-virus-it-depends/,TRUE
84,mostly-false,Ron DeSantis,"Clips of Dr. Anthony Fauci show he ""flip-flopped"" on guidance for wearing masks, whether kids should be in school and whether people should change how they interact.",1/21/2022,campaign,Jeff Cercone,2/8/2022,https://www.politifact.com/factchecks/2022/feb/08/ron-desantis/ron-desantis-ad-fauci-flip-flops-leaves-out-reason/,TRUE
85,false,Facebook posts,Ukrainian President Volodymyr Zelensky wore a Nazi cross symbol.,3/16/2022,social_media,Samantha Putterman,3/25/2022,https://www.politifact.com/factchecks/2022/mar/25/facebook-posts/zelenskys-shirt-bears-emblem-ukraine-armed-forces-/,FALSE
90,mostly-true,Joe Biden,"""Make no mistake: The current spike in gas prices is largely the fault of Vladimir Putin.""",3/14/2022,speech,Louis Jacobson,3/16/2022,https://www.politifact.com/factchecks/2022/mar/16/joe-biden/joe-biden-blame-putin-high-gasoline-prices/,FALSE
91,true,Lee Zeldin,"""New York leads the U.S. in population loss.""",4/12/2022,social_media,Elizabeth Egan,5/6/2022,https://www.politifact.com/factchecks/2022/may/06/lee-zeldin/does-new-york-lead-nation-population-loss/,FALSE
92,half-true,Our American Century,"Kathy Barnette ""pretends she's America First, but repeatedly attacked President Trump.""",5/13/2022,advertisement,Tom Kertscher,5/17/2022,https://www.politifact.com/factchecks/2022/may/17/our-american-century/senate-hopeful-kathy-barnette-criticized-trump-unt/,FALSE
95,mostly-false,Instagram posts,"""The Supreme Court ruled that border agents can enter anyone’s home within a 100-mile radius of the border without a warrant for any reason and federal courts cannot do anything about it.""",6/21/2022,social_media,Grace Abels,6/30/2022,https://www.politifact.com/factchecks/2022/jun/30/instagram-posts/no-border-patrol-agents-cant-enter-home-without-wa/,FALSE
96,half-true,Alma Adams,"""From 1917 to 1994, half of the bills that were successfully filibustered in the Senate were civil rights legislation.""",1/11/2022,social_media,Paul Specht,1/24/2022,https://www.politifact.com/factchecks/2022/jan/24/alma-adams/did-civil-rights-bills-account-half-bills-successf/,TRUE
99,true,Brian Tyler Cohen,"""Iowa Republicans have introduced a bill that would put government-installed cameras in every single classroom to livestream school activities for parents to spy on teachers and children.""",2/2/2022,social_media,Rylee Wilson,2/8/2022,https://www.politifact.com/factchecks/2022/feb/08/brian-tyler-cohen/yes-iowa-republicans-bill-would-put-cameras-classr/,TRUE
100,mostly-false,National Republican Senatorial Committee,"Cheri Beasley tossed the conviction of a man seeking sex with a boy online and ""set free"" a child porn offender.",6/6/2022,advertisement,Paul Specht,6/6/2022,https://www.politifact.com/factchecks/2022/jun/07/national-republican-senatorial-committee/nrsc-exaggerates-effect-beasley-rulings-sex-offens/,TRUE
102,false,Viral image,Quotes show Joseph Stalin and Joe Biden expressed similar views about counting votes.,1/24/2022,social_media,Ciara O'Rourke,1/27/2022,https://www.politifact.com/factchecks/2022/jan/27/viral-image/no-biden-stalin-didnt-say-same-thing-about-countin/,FALSE
103,half-true,National Republican Senatorial Committee,"Cheri Beasley ""vacated"" a man’s death sentence and ""threw out"" the indictment in a child assault case.",5/13/2022,advertisement,Paul Specht,5/25/2022,https://www.politifact.com/factchecks/2022/may/25/national-republican-senatorial-committee/nrsc-ad-attacks-2-beasley-rulings-omits-context/,FALSE
104,true,Eric Toney,"The state crime lab under Attorney General Josh Kaul ""is testing significantly less items than former AG Brad Schimel and is still taking longer to test many categories of key items in comparison to Schimel, including DNA.""",4/14/2022,news,D.L. Davis,5/10/2022,https://www.politifact.com/factchecks/2022/may/10/eric-toney/state-crime-lab-doing-less-testing-and-generally-t/,TRUE
105,true,Kathy Hochul,"""We are No. 1 among all large states in having fully vaccinated teenagers. We are No. 2 in all large states for having fully vaccinated five- to 11- year-olds.""",2/27/2022,news,Jill Terreri Ramos,3/11/2022,https://www.politifact.com/factchecks/2022/mar/11/kathy-hochul/new-york-leader-vaccines-young-people-among-large-/,FALSE
106,mostly-false,Lars Larson,"""Judge Jackson doesn’t think perverts should have to register (as sex offenders). She says it ‘stigmatizes’ THEM.""",3/21/2022,social_media,Yacob Reyes,3/25/2022,https://www.politifact.com/factchecks/2022/mar/25/lars-larson/lars-larson-leaves-out-context-judge-ketanji-brown/,TRUE
108,true,Ted Cruz,"""In 2020, more journalists were killed in Mexico than in any other country in the world.""",2/16/2022,meeting,Nusaiba Mizan,2/28/2022,https://www.politifact.com/factchecks/2022/feb/28/ted-cruz/ted-cruz-right-more-journalists-killed-mexico-any-/,TRUE
109,true,Andrea Stewart-Cousins,"When the New York State Senate voted to legalize abortion in 1970, 12 Republican senators voted in favor of it.",5/3/2022,news,Jill Terreri Ramos,5/7/2022,https://www.politifact.com/factchecks/2022/may/07/andrea-stewart-cousins/more-50-years-ago-new-york-republican-support-abor/,FALSE
110,true,Jen Psaki,"""You are 17 times more likely to go to the hospital if you’re not vaccinated, 20 times more likely to die.""",1/10/2022,news,Madison Czopek,1/12/2022,https://www.politifact.com/factchecks/2022/jan/12/jen-psaki/data-suggests-unvaccinated-are-20-times-more-likel/,FALSE
111,mostly-true,Chuck Todd,"""Clarence Thomas is about to become the only member of the current Supreme Court who was nominated by a president of one party and confirmed by a Senate controlled by the other party.""",1/30/2022,news,Louis Jacobson,1/31/2022,https://www.politifact.com/factchecks/2022/jan/31/chuck-todd/supreme-court-nominees-confirmed-opposite-party-se/,TRUE
113,mostly-false,Facebook posts,"""Alopecia isn't a medical disease; it's an aesthetic one.""",3/28/2022,blog,Monique Curet,3/30/2022,https://www.politifact.com/factchecks/2022/mar/30/facebook-posts/some-types-alopecia-are-disease/,FALSE
114,false,Instagram posts,"White supremacists are going to be ""shooting up all Walmarts and will kill Blacks and Mexicans"" in San Bernardino, California.",6/4/2022,social_media,Jeff Cercone,6/8/2022,https://www.politifact.com/factchecks/2022/jun/08/instagram-posts/rumors-race-based-threats-walmart-stores-san-berna/,FALSE
117,false,Instagram posts,China: U.S. has biological weapons labs in Ukraine.,3/9/2022,social_media,Monique Curet,3/10/2022,https://www.politifact.com/factchecks/2022/mar/10/instagram-posts/china-repeats-false-claim-us-has-biolabs-ukraine/,TRUE
121,false,Facebook posts,"""They just exposed Mark Zuckerberg as a CIA agent.""",5/23/2022,social_media,Ciara O'Rourke,5/25/2022,https://www.politifact.com/factchecks/2022/may/25/facebook-posts/no-mark-zuckerberg-wasnt-exposed-cia-agent/,FALSE
122,half-true,Glenn Youngkin,"Virginia’s ""education standards for math and reading are now the lowest in the nation.""",1/17/2022,speech,Warren Fiske,1/21/2022,https://www.politifact.com/factchecks/2022/jan/21/glenn-youngkin/youngkins-claim-about-virginias-low-k-12-standards/,FALSE
123,mostly-false,Facebook posts,"Germany imposes a 19% tax on feminine hygiene products but a 7% tax on books, so one company is packaging tampons as books.",4/29/2022,blog,Monique Curet,3/31/2022,https://www.politifact.com/factchecks/2022/mar/31/facebook-posts/claim-about-german-tax-feminine-hygiene-products-r/,TRUE
124,mostly-true,Joe Biden,"The Supreme Court decision overturning Roe v. Wade ""made the United States an outlier among developed nations in the world"" on abortion rights.",6/24/2022,speech,Madison Czopek,6/24/2022,https://www.politifact.com/factchecks/2022/jun/24/joe-biden/roe-reversal-ending-national-access-abortion-makes/,TRUE
130,half-true,Facebook posts,"Photo shows a Home Depot worksheet on ""privilege"" used to train its employees.",3/22/2022,social_media,Samantha Putterman,3/24/2022,https://www.politifact.com/factchecks/2022/mar/24/facebook-posts/home-depot-document-racial-and-social-privilege-is/,TRUE
131,half-true,Facebook posts,"""Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine.""",3/14/2022,social_media,Bill McCarthy,3/16/2022,https://www.politifact.com/factchecks/2022/mar/16/facebook-posts/ukrainian-boxing-star-auctioned-olympic-gold-medal/,TRUE
133,false,Facebook posts,"""Ivanka Trump charged with major crime.""",2/15/2022,social_media,Jeff Cercone,2/17/2022,https://www.politifact.com/factchecks/2022/feb/17/facebook-posts/no-ivanka-trump-not-facing-any-criminal-charges/,FALSE
134,half-true,Facebook posts,"""India has nearly 1.4 billion citizens. Nearly 800 million of them live in extreme poverty — less than $1.90 per day. Yet EVERY singly (sic) Indian citizen is required to have a valid form of ID to vote in national elections.""",1/12/2022,blog,Monique Curet,1/19/2022,https://www.politifact.com/factchecks/2022/jan/19/facebook-posts/india-requires-voter-id-its-system-still-leaves-so/,FALSE
139,mostly-true,Tony Kurtz,"If Wisconsin Gov. Tony Evers ""had passed his (gas) tax increases ... fuel prices would be at least a dime higher.",4/7/2022,social_media,D.L. Davis,4/19/2022,https://www.politifact.com/factchecks/2022/apr/19/tony-kurtz/yes-gas-tax-hike-plan-would-have-added-least-dime-/,FALSE
140,false,Facebook posts,"""Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire"" on the Russian ship Moskva.",4/30/2022,blog,Monique Curet,5/5/2022,https://www.politifact.com/factchecks/2022/may/05/facebook-posts/no-credible-reports-indicate-starlink-was-used-rus/,TRUE
147,half-true,Jonathan Turley,"""The majority of citizens in the country will have no change at all because … most of the population resides in states that have already protected abortion rights.""",6/24/2022,news,Louis Jacobson,6/27/2022,https://www.politifact.com/factchecks/2022/jun/27/jonathan-turley/complicated-calculation-determine-what-share-popul/,TRUE
148,mostly-true,Facebook posts,"""The Red Cross sells your donated blood to hospitals for $150 and then that hospital charges you thousands for a blood transfusion.""",4/18/2022,social_media,Madison Czopek,4/28/2022,https://www.politifact.com/factchecks/2022/apr/28/facebook-posts/fact-checking-claim-about-red-cross-and-blood-sold/,FALSE
149,half-true,Facebook posts,"""Joe Biden is giving smartphones away to illegal border crossers.""",4/11/2022,social_media,Andy Nguyen,4/14/2022,https://www.politifact.com/factchecks/2022/apr/14/facebook-posts/claim-about-smartphones-given-immigrants-misses-ke/,TRUE
151,true,Democratic Party of Wisconsin,"""The tax carve out (Ron) Johnson spearheaded overwhelmingly benefited the wealthiest, over small businesses.""",4/29/2022,news,Madeline Heim,6/7/2022,https://www.politifact.com/factchecks/2022/jun/07/state-democratic-party-wisconsin/yes-tax-break-ron-johnson-pushed-2017-has-benefite/,FALSE
154,mostly-false,Maria Bartiromo,"""We have doubled our (oil) imports from Russia in the last year.""",2/22/2022,television,Yacob Reyes,2/28/2022,https://www.politifact.com/factchecks/2022/feb/28/maria-bartiromo/us-did-not-double-oil-imports-russia-last-year/,FALSE
155,mostly-false,Facebook posts,"As with people vaccinated against COVID-19, ""many people who were NOT vaccinated also experienced zero or mild symptoms.""",4/8/2022,blog,Monique Curet,4/11/2022,https://www.politifact.com/factchecks/2022/apr/11/facebook-posts/hospitalizations-deaths-are-not-same-among-unvacci/,TRUE
156,mostly-false,Instagram posts,"""The CEO of Moderna deleted his Twitter and dumped $400 million of Moderna stock. Big Pharma seems to know some bad news is coming.""",2/15/2022,social_media,Sara Swann,2/17/2022,https://www.politifact.com/factchecks/2022/feb/17/instagram-posts/no-link-between-moderna-ceos-deleted-twitter-and-s/,FALSE
157,true,Tony Evers,"he has issued more pardons than ""any Wisconsin governor in contemporary history.""",1/13/2022,news,Alan Hovorka,2/15/2022,https://www.politifact.com/factchecks/2022/feb/15/tony-evers/heres-how-gov-tony-evers-blistering-pace-pardons-s/,TRUE
158,true,Joni Ernst,"In Iowa, ""since we have put a number of the voting laws into place over the last several years — voter ID is one of those — we've actually seen voter participation increase, even in off-election years.""",1/23/2022,news,Lyle Muller,1/26/2022,https://www.politifact.com/factchecks/2022/jan/26/joni-ernst/numbers-back-joni-ernst-claim-record-iowa-voter-tu/,FALSE
160,false,Instagram posts,"The Centers for Disease Control and Prevention has amassed the ""largest collection of human data in history"" through COVID-19 PCR tests.",2/17/2022,social_media,Yacob Reyes,2/23/2022,https://www.politifact.com/factchecks/2022/feb/23/instagram-posts/no-cdc-not-collecting-human-dna-covid-19-pcr-tests/,FALSE
161,mostly-true,Zach Wahls,"""There are fewer Iowans working today than when Gov. Reynolds took office.""",5/31/2022,statement,Lyle Muller,6/9/2022,https://www.politifact.com/factchecks/2022/jun/09/zach-wahls/iowas-jobs-numbers-now-will-be-recalculated/,FALSE
165,mostly-true,Facebook posts,"U.S. imports 1% of its oil from Russia while ""Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.""",3/7/2022,social_media,Andy Nguyen,3/10/2022,https://www.politifact.com/factchecks/2022/mar/10/facebook-posts/yes-oil-companies-are-reporting-record-breaking-pr/,FALSE
166,half-true,Crystal Peoples-Stokes,"""Cities in notoriously ‘tough on crime’ states like Texas and Florida saw a more significant increase in violent crime than cities in NYS.""",3/29/2022,news,Jill Terreri Ramos,4/16/2022,https://www.politifact.com/factchecks/2022/apr/16/crystal-peoples-stokes/claim-about-crime-other-states-context-needed/,TRUE
167,half-true,Cavalier Johnson,"The RNC is ""a $200 million economic infusion into our communities.""",5/27/2022,news,Vanessa Swales,7/8/2022,https://www.politifact.com/factchecks/2022/jul/08/cavalier-johnson/mayor-johnson-overestimates-economic-benefit-hosti/,TRUE
169,half-true,Joe Biden,"""For four years, I was a full professor at the University of Pennsylvania.""",4/14/2022,speech,Louis Jacobson,4/22/2022,https://www.politifact.com/factchecks/2022/apr/22/joe-biden/fact-checking-joe-biden-being-full-professor-four-/,FALSE
171,mostly-false,Rebecca Kleefisch,"Gov. Tony Evers gave $2.4 million in COVID relief money to Planned Parenthood affiliates throughout Wisconsin ""to bail them out and fund abortions.""",3/9/2022,campaign,Madeline Heim,3/25/2022,https://www.politifact.com/factchecks/2022/mar/25/rebecca-kleefisch/yes-evers-gave-covid-relief-money-planned-parentho/,FALSE
172,mostly-true,Patrick Gaspard,"""Inflation has been caused by the global economies shutting down all at once, reopening all at once. And … the U.S. economy is recovering at a far faster pace than any other country in the OECD.""",2/13/2022,television,Louis Jacobson,2/16/2022,https://www.politifact.com/factchecks/2022/feb/16/patrick-gaspard/us-economic-growth-exceeds-rivals-and-has-contribu/,FALSE
175,true,Glenn Grothman,"""The US has made strides in reducing carbon emissions that other parts of the world have not.""",2/3/2022,social_media,D.L. Davis,3/11/2022,https://www.politifact.com/factchecks/2022/mar/11/glenn-grothman/us-making-progress-cutting-greenhouse-gas-emission/,TRUE
184,false,Facebook posts,"President Joe Biden was confused, ""turned around and shook hands with thin air"" after a speech.",4/14/2022,social_media,Gabrielle Settles,4/19/2022,https://www.politifact.com/factchecks/2022/apr/19/facebook-posts/biden-was-gesturing-towards-his-audience-not-shaki/,TRUE
187,mostly-false,Rebecca Kleefisch,"""As your Lieutenant Governor…I cut your taxes.""",3/28/2022,advertisement,Laura Schulte,4/13/2022,https://www.politifact.com/factchecks/2022/apr/13/rebecca-kleefisch/kleefisch-didnt-have-power-cut-taxes-her-own-lieut/,FALSE
189,mostly-false,Nikki Fried,"""Charlie Crist is pro-life.""",6/28/2022,campaign,Yacob Reyes,7/5/2022,https://www.politifact.com/factchecks/2022/jul/05/nikki-fried/nikki-frieds-ad-misleads-crists-position-abortion-/,FALSE
192,false,Facebook posts,"""News report accidentally reveals doctors giving ‘banned’ COVID treatment to the Queen.""",2/21/2022,social_media,Madison Czopek,2/24/2022,https://www.politifact.com/factchecks/2022/feb/24/facebook-posts/no-news-report-didnt-reveal-doctors-gave-queen-eli/,FALSE
